tfbs	frequency	gene
TFAP2C	1	pvalb
TFAP4	1	pvalb
TFEB	1	pvalb
TFEC	1	pvalb
TGIF1	1	pvalb
TWIST1	1	pvalb
Twist2	2	pvalb
USF1	1	pvalb
YY1	2	pvalb
ZBTB18	2	pvalb
ZBTB7A	1	pvalb
ZEB1	3	pvalb
Zfx	1	pvalb
ZIC1	1	pvalb
ZIC3	1	pvalb
ZIC4	1	pvalb
ZNF143	1	pvalb
ZNF24	2	pvalb
ZNF263	33	pvalb
ZNF384	8	pvalb
ZNF410	2	pvalb
ZNF740	8	pvalb
ZSCAN4	5	pvalb
