tfbs	frequency	gene
TFAP4	3	Shank3 =  3
TFDP1	1	Shank3 =  1
TGIF1	5	Shank3 =  5
TGIF2	8	Shank3 =  8
TP53	6	Shank3 =  6
TP63	4	Shank3 =  4
TP73	5	Shank3 =  5
TWIST1	3	Shank3 =  3
Twist2	2	Shank3 =  2
USF1	2	Shank3 =  2
USF2	3	Shank3 =  3
XBP1	2	Shank3 =  2
YY1	7	Shank3 =  7
YY2	1	Shank3 =  1
ZBED1	1	Shank3 =  1
ZBTB18	5	Shank3 =  5
ZBTB7B	4	Shank3 =  4
ZBTB7C	6	Shank3 =  6
ZEB1	13	Shank3 =  13
Zfx	12	Shank3 =  12
ZIC1	4	Shank3 =  4
ZIC3	4	Shank3 =  4
ZIC4	5	Shank3 =  5
ZNF143	7	Shank3 =  7
ZNF24	7	Shank3 =  7
ZNF263	143	Shank3 =  143
ZNF282	3	Shank3 =  3
ZNF384	85	Shank3 =  85
ZNF410	4	Shank3 =  4
ZNF740	15	Shank3 =  15
ZSCAN4	14	Shank3 =  14
