tfbs	frequency	gene
POU1F1	3	npy
POU2F1	3	npy
POU2F2	1	npy
POU2F3	5	npy
POU3F1	2	npy
POU3F2	2	npy
POU3F3	2	npy
POU5F1	5	npy
Pou5f1::Sox2	2	npy
POU6F1(var.2)	2	npy
PPARA::RXRA	1	npy
PPARD	1	npy
Pparg::Rxra	1	npy
PRDM1	7	npy
Prdm15	2	npy
PRDM4	1	npy
PROP1	3	npy
Ptf1a	2	npy
Ptf1a(var.2)	1	npy
Ptf1a(var.3)	2	npy
Rarb	1	npy
RARB(var.3)	1	npy
Rarg	1	npy
Rarg(var.2)	1	npy
RARG(var.3)	1	npy
RBPJ	6	npy
Rbpjl	2	npy
RELB	1	npy
REST	2	npy
RFX1	2	npy
RFX2	1	npy
RFX3	1	npy
RFX4	1	npy
RFX5	1	npy
RORA	1	npy
RREB1	30	npy
RUNX1	2	npy
RXRB	1	npy
RXRB(var.2)	1	npy
RXRG	1	npy
SCRT1	1	npy
SCRT2	1	npy
SIX1	1	npy
Six3	1	npy
Smad2::Smad3	1	npy
SMAD3	1	npy
SMAD5	1	npy
SOHLH2	3	npy
SOX10	5	npy
Sox11	2	npy
SOX15	3	npy
SOX2	1	npy
SOX21	1	npy
Sox3	3	npy
SOX4	2	npy
Sox6	4	npy
SOX8	1	npy
SP1	1	npy
SP2	6	npy
SP3	2	npy
SP4	1	npy
SP8	3	npy
SP9	2	npy
SPDEF	2	npy
SPI1	8	npy
SPIB	3	npy
SPIC	1	npy
Spz1	5	npy
SREBF1(var.2)	1	npy
SREBF2	1	npy
SREBF2(var.2)	2	npy
SRF	1	npy
STAT1	1	npy
STAT1::STAT2	3	npy
Stat2	5	npy
STAT3	1	npy
Stat4	4	npy
Stat5a	1	npy
Stat5a::Stat5b	2	npy
Stat6	3	npy
TBR1	3	npy
TBX18	2	npy
TBX19	1	npy
TBX2	3	npy
TBX20	1	npy
TBX21	2	npy
TBX3	1	npy
TBX6	2	npy
TBXT	3	npy
TCF12(var.2)	2	npy
Tcf21	1	npy
TCF21(var.2)	2	npy
TCF3	3	npy
TCF4	2	npy
TCF7	1	npy
TCF7L1	2	npy
TCF7L2	3	npy
TCFL5	2	npy
TEAD1	2	npy
TEAD2	1	npy
TEAD4	2	npy
TFAP2A	2	npy
TFAP2A(var.2)	1	npy
TFAP2A(var.3)	1	npy
TFAP2B(var.3)	1	npy
TFAP2C(var.2)	3	npy
TFAP2C(var.3)	1	npy
TFAP2E	1	npy
TFAP4(var.2)	1	npy
TFDP1	3	npy
TFEB	1	npy
TFEC	1	npy
TGIF2LX	1	npy
THAP11	3	npy
THRB	1	npy
THRB(var.2)	1	npy
THRB(var.3)	1	npy
TP53	1	npy
TP73	2	npy
TWIST1	1	npy
Twist2	1	npy
USF1	2	npy
USF2	2	npy
VEZF1	12	npy
Wt1	9	npy
ZBTB12	1	npy
ZBTB18	1	npy
ZBTB26	2	npy
ZBTB6	1	npy
ZBTB7A	3	npy
ZBTB7B	1	npy
ZBTB7C	2	npy
ZEB1	2	npy
ZFP57	1	npy
Zfx	2	npy
ZIC1	2	npy
Zic2	1	npy
ZIC3	2	npy
ZIC4	1	npy
ZIC5	2	npy
ZKSCAN5	6	npy
ZNF135	2	npy
ZNF136	2	npy
ZNF140	1	npy
ZNF143	2	npy
ZNF148	14	npy
ZNF16	3	npy
ZNF274	2	npy
Znf281	4	npy
ZNF282	1	npy
ZNF317	1	npy
ZNF341	1	npy
ZNF382	3	npy
ZNF384	27	npy
ZNF410	1	npy
ZNF449	3	npy
ZNF460	3	npy
ZNF528	1	npy
ZNF652	2	npy
ZNF682	1	npy
ZNF684	2	npy
ZNF740	22	npy
ZNF75D	1	npy
ZSCAN4	8	npy
