tfbs	frequency	gene
PLAGL2	1	npy
POU1F1	3	npy
POU2F1	3	npy
POU2F2	1	npy
POU2F3	6	npy
POU3F1	2	npy
POU3F2	2	npy
POU3F3	2	npy
POU5F1	5	npy
Pou5f1::Sox2	4	npy
POU6F1(var.2)	2	npy
PPARA::RXRA	2	npy
PPARD	1	npy
PPARG	1	npy
Pparg::Rxra	1	npy
PRDM1	9	npy
Prdm15	3	npy
PRDM4	1	npy
PROP1	3	npy
Ptf1a	2	npy
Ptf1a(var.2)	2	npy
Ptf1a(var.3)	3	npy
Rarb	1	npy
RARB(var.3)	1	npy
Rarg	1	npy
Rarg(var.2)	1	npy
RARG(var.3)	1	npy
RBPJ	8	npy
Rbpjl	2	npy
REL	1	npy
RELA	1	npy
RELB	2	npy
REST	2	npy
RFX1	2	npy
RFX2	1	npy
RFX3	1	npy
RFX4	1	npy
RFX5	1	npy
RORA	1	npy
RREB1	31	npy
RUNX1	2	npy
RUNX3	1	npy
RXRA::VDR	3	npy
RXRB	1	npy
RXRB(var.2)	1	npy
RXRG	1	npy
RXRG(var.2)	2	npy
SCRT1	1	npy
SCRT2	1	npy
SIX1	1	npy
SIX2	1	npy
Six3	1	npy
Smad2::Smad3	1	npy
SMAD2::SMAD3::SMAD4	2	npy
SMAD3	1	npy
SMAD5	1	npy
SOHLH2	3	npy
SOX10	6	npy
Sox11	3	npy
SOX15	3	npy
SOX2	1	npy
SOX21	1	npy
Sox3	4	npy
SOX4	3	npy
Sox6	6	npy
SOX8	1	npy
SP1	1	npy
SP2	6	npy
SP3	3	npy
SP4	2	npy
SP8	4	npy
SP9	3	npy
SPDEF	2	npy
SPI1	8	npy
SPIB	4	npy
SPIC	1	npy
Spz1	6	npy
SREBF1(var.2)	1	npy
SREBF2	1	npy
SREBF2(var.2)	2	npy
SRF	1	npy
STAT1	2	npy
STAT1::STAT2	4	npy
Stat2	6	npy
STAT3	3	npy
Stat4	5	npy
Stat5a	2	npy
Stat5a::Stat5b	4	npy
Stat5b	1	npy
Stat6	7	npy
TAL1::TCF3	1	npy
TBR1	4	npy
TBX18	3	npy
TBX19	1	npy
TBX2	4	npy
TBX20	2	npy
TBX21	3	npy
TBX3	1	npy
TBX6	3	npy
TBXT	3	npy
Tcf12	1	npy
TCF12(var.2)	4	npy
Tcf21	3	npy
TCF21(var.2)	3	npy
TCF3	5	npy
TCF4	3	npy
TCF7	3	npy
TCF7L1	2	npy
TCF7L2	4	npy
TCFL5	2	npy
TEAD1	2	npy
TEAD2	1	npy
TEAD4	2	npy
TFAP2A	3	npy
TFAP2A(var.2)	2	npy
TFAP2A(var.3)	2	npy
TFAP2B	3	npy
TFAP2B(var.2)	1	npy
TFAP2B(var.3)	2	npy
TFAP2C	2	npy
TFAP2C(var.2)	3	npy
TFAP2C(var.3)	2	npy
TFAP2E	3	npy
TFAP4(var.2)	1	npy
TFDP1	3	npy
TFEB	1	npy
TFEC	1	npy
TGIF1	1	npy
TGIF2	1	npy
TGIF2LX	2	npy
TGIF2LY	1	npy
THAP11	5	npy
THRB	1	npy
THRB(var.2)	1	npy
THRB(var.3)	1	npy
TP53	1	npy
TP73	2	npy
TWIST1	1	npy
Twist2	1	npy
USF1	2	npy
USF2	2	npy
VEZF1	12	npy
Wt1	9	npy
YY1	1	npy
ZBTB12	3	npy
ZBTB18	2	npy
ZBTB26	3	npy
ZBTB6	4	npy
ZBTB7A	3	npy
ZBTB7B	1	npy
ZBTB7C	2	npy
ZEB1	4	npy
ZFP42	1	npy
ZFP57	1	npy
Zfx	2	npy
ZIC1	2	npy
