tfbs	frequency	gene
MXI1	4	pvalb
MYB	1	pvalb
MYCN	1	pvalb
MYF5	9	pvalb
MYF6	3	pvalb
MYOD1	12	pvalb
MYOG	8	pvalb
MZF1	4	pvalb
NEUROD1	4	pvalb
NEUROD2	1	pvalb
NEUROG1	1	pvalb
NEUROG2	1	pvalb
NEUROG2(var.2)	4	pvalb
NFATC3	1	pvalb
NFATC4	4	pvalb
NFE2	5	pvalb
NFE2L1	4	pvalb
Nfe2l2	5	pvalb
NFIA	2	pvalb
NFIB	5	pvalb
NFIC	4	pvalb
NFIC::TLX1	4	pvalb
NFIC(var.2)	2	pvalb
NFIL3	2	pvalb
NFIX(var.2)	2	pvalb
NFKB1	3	pvalb
NFKB2	2	pvalb
NFYA	6	pvalb
NFYB	3	pvalb
NFYC	7	pvalb
NHLH1	5	pvalb
NHLH2	8	pvalb
NKX2-2	1	pvalb
NKX2-5	2	pvalb
Nkx2-5(var.2)	1	pvalb
Nkx3-2	2	pvalb
NOTO	1	pvalb
NR1D1	4	pvalb
NR1D2	4	pvalb
NR1H2::RXRA	11	pvalb
Nr1h3::Rxra	6	pvalb
NR1H4	2	pvalb
NR1H4::RXRA	1	pvalb
NR1I2	1	pvalb
NR2C2	11	pvalb
NR2F1	5	pvalb
NR2F1(var.2)	9	pvalb
NR2F1(var.3)	6	pvalb
NR2F2	8	pvalb
Nr2f6	10	pvalb
Nr2f6(var.2)	3	pvalb
NR2F6(var.3)	4	pvalb
NR3C1	3	pvalb
NR3C2	4	pvalb
NR4A1	5	pvalb
NR4A2::RXRA	2	pvalb
NR5A1	6	pvalb
Nr5a2	8	pvalb
NR6A1	6	pvalb
NRF1	3	pvalb
OLIG1	2	pvalb
OLIG2	2	pvalb
OLIG3	2	pvalb
ONECUT1	4	pvalb
ONECUT2	1	pvalb
ONECUT3	2	pvalb
OSR2	6	pvalb
OTX2	1	pvalb
PAX5	1	pvalb
PAX6	1	pvalb
PAX9	1	pvalb
PBX1	1	pvalb
PBX2	2	pvalb
PBX3	3	pvalb
PHOX2B	2	pvalb
PKNOX1	5	pvalb
PKNOX2	2	pvalb
PLAG1	1	pvalb
Plagl1	5	pvalb
PLAGL2	1	pvalb
POU1F1	1	pvalb
POU2F1	2	pvalb
POU2F2	1	pvalb
POU2F3	2	pvalb
POU3F1	3	pvalb
POU3F2	3	pvalb
POU3F3	2	pvalb
POU4F1	2	pvalb
POU4F2	2	pvalb
POU4F3	2	pvalb
POU5F1	1	pvalb
Pou5f1::Sox2	4	pvalb
POU6F1	1	pvalb
POU6F1(var.2)	4	pvalb
POU6F2	1	pvalb
PPARA::RXRA	6	pvalb
PPARD	7	pvalb
PPARG	4	pvalb
Pparg::Rxra	9	pvalb
PRDM1	5	pvalb
Prdm15	4	pvalb
Ptf1a	7	pvalb
Ptf1a(var.2)	8	pvalb
Ptf1a(var.3)	6	pvalb
RARA	2	pvalb
RARA::RXRA	3	pvalb
RARA::RXRG	2	pvalb
RARA(var.2)	2	pvalb
Rarb	4	pvalb
Rarb(var.2)	3	pvalb
RARB(var.3)	2	pvalb
Rarg	4	pvalb
Rarg(var.2)	4	pvalb
RARG(var.3)	2	pvalb
RBPJ	10	pvalb
Rbpjl	9	pvalb
RELA	3	pvalb
RELB	1	pvalb
REST	4	pvalb
RFX1	4	pvalb
RFX2	2	pvalb
RFX3	3	pvalb
RFX5	2	pvalb
RORA	4	pvalb
RORA(var.2)	2	pvalb
RORC	3	pvalb
RREB1	98	pvalb
RUNX1	4	pvalb
RUNX3	4	pvalb
Rxra	10	pvalb
RXRA::VDR	5	pvalb
RXRB	8	pvalb
RXRB(var.2)	2	pvalb
RXRG	7	pvalb
RXRG(var.2)	1	pvalb
SIX2	1	pvalb
Six3	2	pvalb
Smad2::Smad3	7	pvalb
SMAD2::SMAD3::SMAD4	7	pvalb
SMAD3	1	pvalb
SNAI2	7	pvalb
SOHLH2	1	pvalb
Sox1	1	pvalb
SOX10	4	pvalb
Sox11	5	pvalb
SOX15	2	pvalb
SOX21	2	pvalb
Sox3	4	pvalb
SOX4	2	pvalb
Sox6	1	pvalb
SP1	8	pvalb
SP2	16	pvalb
SP3	10	pvalb
SP4	6	pvalb
SP8	23	pvalb
SP9	16	pvalb
SPDEF	2	pvalb
SPI1	5	pvalb
SPIB	6	pvalb
SPIC	2	pvalb
Spz1	2	pvalb
SREBF1	3	pvalb
SREBF1(var.2)	2	pvalb
SREBF2	3	pvalb
SREBF2(var.2)	1	pvalb
SRF	1	pvalb
STAT1	6	pvalb
STAT1::STAT2	7	pvalb
Stat2	10	pvalb
STAT3	8	pvalb
Stat4	9	pvalb
Stat5a	8	pvalb
Stat5a::Stat5b	11	pvalb
Stat5b	6	pvalb
Stat6	4	pvalb
TAL1::TCF3	2	pvalb
TBR1	1	pvalb
TBX18	2	pvalb
TBX2	1	pvalb
TBX20	2	pvalb
TBX21	2	pvalb
TBX3	1	pvalb
TBX6	1	pvalb
TBXT	1	pvalb
Tcf12	10	pvalb
TCF12(var.2)	6	pvalb
Tcf21	3	pvalb
TCF21(var.2)	3	pvalb
TCF3	4	pvalb
TCF4	8	pvalb
TCF7	2	pvalb
TCF7L1	6	pvalb
TCF7L2	6	pvalb
TCFL5	3	pvalb
TEAD1	2	pvalb
TEAD2	1	pvalb
TEAD4	2	pvalb
TEF	3	pvalb
TFAP2A	8	pvalb
TFAP2A(var.2)	4	pvalb
TFAP2A(var.3)	2	pvalb
TFAP2B	3	pvalb
TFAP2B(var.2)	3	pvalb
TFAP2B(var.3)	2	pvalb
TFAP2C	4	pvalb
TFAP2C(var.2)	5	pvalb
TFAP2C(var.3)	1	pvalb
TFAP2E	3	pvalb
TFAP4	5	pvalb
TFCP2	1	pvalb
TFEB	1	pvalb
TGIF1	2	pvalb
TGIF2	3	pvalb
TGIF2LX	4	pvalb
TGIF2LY	4	pvalb
THAP11	5	pvalb
THRB	8	pvalb
THRB(var.2)	3	pvalb
THRB(var.3)	5	pvalb
TP53	5	pvalb
TP63	2	pvalb
TP73	4	pvalb
TWIST1	2	pvalb
Twist2	2	pvalb
USF1	2	pvalb
USF2	1	pvalb
VEZF1	13	pvalb
Wt1	13	pvalb
YY1	5	pvalb
ZBTB12	6	pvalb
ZBTB18	6	pvalb
ZBTB26	2	pvalb
ZBTB32	1	pvalb
ZBTB33	1	pvalb
ZBTB6	5	pvalb
ZBTB7A	5	pvalb
ZBTB7B	2	pvalb
ZBTB7C	1	pvalb
ZEB1	4	pvalb
ZFP42	4	pvalb
Zfx	2	pvalb
ZIC1	4	pvalb
Zic1::Zic2	10	pvalb
Zic2	12	pvalb
ZIC3	4	pvalb
ZIC4	4	pvalb
ZIC5	6	pvalb
ZKSCAN1	1	pvalb
ZKSCAN5	8	pvalb
ZNF135	3	pvalb
ZNF136	1	pvalb
ZNF140	3	pvalb
ZNF143	3	pvalb
ZNF148	17	pvalb
ZNF16	9	pvalb
ZNF24	5	pvalb
ZNF263	8	pvalb
