tfbs	frequency	gene
POU3F3	1	pvalb
POU4F2	1	pvalb
POU5F1	1	pvalb
Pou5f1::Sox2	2	pvalb
POU6F1	1	pvalb
POU6F1(var.2)	2	pvalb
PPARA::RXRA	3	pvalb
PPARD	4	pvalb
PPARG	4	pvalb
Pparg::Rxra	6	pvalb
PRDM1	3	pvalb
Prdm15	2	pvalb
Ptf1a	5	pvalb
Ptf1a(var.2)	4	pvalb
Ptf1a(var.3)	2	pvalb
RARA::RXRA	2	pvalb
RARA::RXRG	1	pvalb
RARA(var.2)	1	pvalb
Rarb	2	pvalb
Rarb(var.2)	2	pvalb
RARB(var.3)	1	pvalb
Rarg	2	pvalb
Rarg(var.2)	2	pvalb
RARG(var.3)	1	pvalb
RBPJ	8	pvalb
Rbpjl	5	pvalb
RELA	2	pvalb
RELB	1	pvalb
REST	3	pvalb
RFX1	4	pvalb
RFX2	2	pvalb
RFX3	3	pvalb
RFX5	2	pvalb
RORA	1	pvalb
RORA(var.2)	1	pvalb
RREB1	51	pvalb
RUNX1	2	pvalb
RUNX3	2	pvalb
Rxra	6	pvalb
RXRA::VDR	2	pvalb
RXRB	5	pvalb
RXRB(var.2)	1	pvalb
RXRG	5	pvalb
Six3	1	pvalb
Smad2::Smad3	3	pvalb
SMAD2::SMAD3::SMAD4	3	pvalb
SMAD3	1	pvalb
SNAI2	3	pvalb
SOHLH2	1	pvalb
SOX10	2	pvalb
Sox11	3	pvalb
SOX15	2	pvalb
Sox3	1	pvalb
SP1	6	pvalb
SP2	12	pvalb
SP3	9	pvalb
SP4	4	pvalb
SP8	19	pvalb
SP9	15	pvalb
SPDEF	1	pvalb
SPI1	3	pvalb
SPIB	4	pvalb
SPIC	2	pvalb
SREBF1	2	pvalb
SREBF1(var.2)	2	pvalb
SREBF2(var.2)	1	pvalb
SRF	1	pvalb
STAT1	2	pvalb
STAT1::STAT2	4	pvalb
Stat2	4	pvalb
STAT3	3	pvalb
Stat4	4	pvalb
Stat5a	2	pvalb
Stat5a::Stat5b	4	pvalb
Stat5b	2	pvalb
Stat6	3	pvalb
TAL1::TCF3	1	pvalb
TBR1	1	pvalb
TBX18	1	pvalb
TBX2	1	pvalb
TBX20	2	pvalb
TBX21	2	pvalb
TBX3	1	pvalb
TBX6	1	pvalb
Tcf12	5	pvalb
TCF12(var.2)	4	pvalb
Tcf21	2	pvalb
TCF21(var.2)	2	pvalb
TCF3	2	pvalb
TCF4	4	pvalb
TCF7	1	pvalb
TCF7L1	5	pvalb
TCF7L2	3	pvalb
TCFL5	3	pvalb
TEAD1	2	pvalb
TEAD2	1	pvalb
TEAD4	2	pvalb
TEF	2	pvalb
TFAP2A	3	pvalb
TFAP2A(var.2)	4	pvalb
TFAP2A(var.3)	2	pvalb
TFAP2B	3	pvalb
TFAP2B(var.2)	3	pvalb
TFAP2B(var.3)	2	pvalb
TFAP2C	3	pvalb
TFAP2C(var.2)	4	pvalb
TFAP2C(var.3)	1	pvalb
TFAP2E	1	pvalb
TFAP4	4	pvalb
TFCP2	1	pvalb
TGIF1	1	pvalb
TGIF2	3	pvalb
TGIF2LX	3	pvalb
TGIF2LY	3	pvalb
THAP11	5	pvalb
THRB	5	pvalb
THRB(var.2)	3	pvalb
