tfbs	frequency	gene
NR2F1	4	vipr2
NR2F2	3	vipr2
Nr2f6	6	vipr2
Nr2f6(var.2)	3	vipr2
NR3C1	6	vipr2
NR3C2	6	vipr2
NR4A1	2	vipr2
NR4A2::RXRA	3	vipr2
Nr5a2	4	vipr2
NRF1	2	vipr2
NRL	1	vipr2
OLIG1	4	vipr2
OLIG2	4	vipr2
OLIG3	5	vipr2
ONECUT1	2	vipr2
ONECUT2	2	vipr2
ONECUT3	4	vipr2
PAX1	1	vipr2
PAX3	2	vipr2
PAX5	2	vipr2
Pax6	1	vipr2
PAX7	2	vipr2
PAX9	2	vipr2
PBX1	1	vipr2
PBX2	4	vipr2
PBX3	6	vipr2
PHOX2A	1	vipr2
Phox2b	2	vipr2
PKNOX1	5	vipr2
PKNOX2	8	vipr2
PLAG1	6	vipr2
POU1F1	3	vipr2
POU2F1	5	vipr2
POU2F2	10	vipr2
Pou2f3	2	vipr2
POU3F1	5	vipr2
POU3F2	4	vipr2
POU3F3	6	vipr2
POU4F1	4	vipr2
POU4F2	4	vipr2
POU4F3	4	vipr2
POU5F1	2	vipr2
Pou5f1::Sox2	7	vipr2
POU6F1	2	vipr2
POU6F2	1	vipr2
PPARA::RXRA	5	vipr2
PPARG	3	vipr2
Pparg::Rxra	10	vipr2
PRDM1	2	vipr2
PROP1	2	vipr2
RARA	7	vipr2
RARA::RXRA	7	vipr2
RARA::RXRG	8	vipr2
RARA(var.2)	10	vipr2
Rarb	4	vipr2
Rarb(var.2)	9	vipr2
Rarg	4	vipr2
Rarg(var.2)	8	vipr2
RAX	2	vipr2
RBPJ	9	vipr2
REL	6	vipr2
RELA	3	vipr2
RELB	2	vipr2
REST	9	vipr2
Rfx1	7	vipr2
RFX2	3	vipr2
RFX3	4	vipr2
RFX4	5	vipr2
RFX5	3	vipr2
Rhox11	3	vipr2
RORA	4	vipr2
RORA(var.2)	2	vipr2
RORB	1	vipr2
RORC	1	vipr2
RREB1	87	vipr2
RUNX1	8	vipr2
RUNX3	2	vipr2
Rxra	6	vipr2
RXRA::VDR	3	vipr2
RXRB	8	vipr2
RXRG	5	vipr2
SCRT1	2	vipr2
SCRT2	3	vipr2
SIX1	2	vipr2
SIX2	2	vipr2
Six3	2	vipr2
SMAD2::SMAD3::SMAD4	5	vipr2
SMAD3	3	vipr2
Sox1	6	vipr2
SOX10	3	vipr2
Sox11	3	vipr2
SOX13	4	vipr2
SOX15	8	vipr2
SOX21	4	vipr2
Sox3	15	vipr2
SOX4	6	vipr2
Sox6	7	vipr2
SOX8	7	vipr2
SP1	21	vipr2
SP2	20	vipr2
SP3	22	vipr2
SP4	10	vipr2
SP8	18	vipr2
SPDEF	2	vipr2
SPI1	5	vipr2
SPIC	11	vipr2
Spz1	11	vipr2
SREBF1	1	vipr2
Srebf1(var.2)	1	vipr2
SREBF2(var.2)	1	vipr2
SRF	3	vipr2
STAT1	8	vipr2
STAT1::STAT2	16	vipr2
STAT3	9	vipr2
Stat4	8	vipr2
Stat5a::Stat5b	11	vipr2
Stat6	4	vipr2
T	2	vipr2
TAL1::TCF3	7	vipr2
TBR1	3	vipr2
TBX19	2	vipr2
TBX2	1	vipr2
TBX20	2	vipr2
TBX21	1	vipr2
Tcf12	18	vipr2
Tcf21	9	vipr2
TCF3	4	vipr2
TCF4	5	vipr2
Tcf7	3	vipr2
TCF7L1	2	vipr2
TCF7L2	7	vipr2
TEAD1	2	vipr2
TEAD2	3	vipr2
TEAD4	2	vipr2
TFAP2A	3	vipr2
TFAP2A(var.2)	5	vipr2
TFAP2A(var.3)	6	vipr2
TFAP2B	4	vipr2
TFAP2B(var.2)	3	vipr2
TFAP2B(var.3)	8	vipr2
TFAP2C	4	vipr2
TFAP2C(var.2)	3	vipr2
TFAP2C(var.3)	6	vipr2
TFAP4	11	vipr2
TFCP2	3	vipr2
TFEB	2	vipr2
TFEC	5	vipr2
TGIF1	5	vipr2
TGIF2	4	vipr2
TP53	3	vipr2
TP63	7	vipr2
TP73	5	vipr2
TWIST1	12	vipr2
Twist2	3	vipr2
USF1	7	vipr2
USF2	1	vipr2
XBP1	1	vipr2
YY1	8	vipr2
YY2	1	vipr2
ZBTB18	13	vipr2
ZBTB33	1	vipr2
ZBTB7A	2	vipr2
ZBTB7B	1	vipr2
ZBTB7C	3	vipr2
ZEB1	10	vipr2
Zfx	9	vipr2
ZIC1	5	vipr2
ZIC3	3	vipr2
ZIC4	3	vipr2
ZNF143	6	vipr2
ZNF24	7	vipr2
ZNF263	81	vipr2
ZNF282	5	vipr2
ZNF384	64	vipr2
ZNF410	2	vipr2
ZNF740	19	vipr2
ZSCAN4	8	vipr2
